Genotype,TKW_Karnal,TKW_Ludhiana,TKW_IARI_Delhi,TKW_IARI_JKD,TKW_Dharwad,Fe_Karnal,Fe_Ludhiana,Fe_IARI-Delhi,Fe_IARI-JKD,Fe_Dharwad,Zn_Karnal,Zn_Ludhiana,Zn_IARI-Delhi,Zn_IARI-JKD,Zn_Dharwad
AAI-W29,52.1,43,43.9,42.8,51.3,39.3,41.6,34.6,43,41.2,45.2,49.2,45.9,34.5,38
AKAW5080,39.5,39.2,34.7,39.5,39.2,37,37,38.2,40.8,40,44.1,38.4,49.9,36.8,39.7
AKAW5099,46.3,42.1,42.1,50.3,51.3,38.2,41.8,37.2,43.9,40.8,38,38.9,39.4,35.1,32.5
BRW3877,55,48.1,46.9,48.7,50.2,37,40.3,39.5,42.8,40.2,32.7,36.7,37.8,32.4,33.2
CG1029,49,46.5,47.5,59.3,56.5,30.5,35.5,42.9,42.8,39.5,40,51.5,46.4,45.2,39.5
CG1034,49.7,44.1,44.3,48.9,55.9,34,41,37.2,44.9,42.6,36.6,49.9,39.4,33.4,43.3
CG1035,42.9,42.9,40.6,49,56.9,31.2,40.7,34.9,39.7,42.6,35.6,41.8,43.4,33.5,34.5
CG1036,43.9,43,42.5,52.1,45.7,32.7,44.2,35.9,48.2,41.3,35,33.6,39.9,32.4,35.5
CG1037,43,41.9,38.8,46.6,43.8,32.7,39.2,35.4,41.3,38.9,34.3,48.7,41.5,30.3,44.7
DBW107,37.9,37.4,37.1,43.2,38.6,38.8,41.5,41.1,44.7,42.1,37.2,39,41.3,42.1,38.4
DBW110,45.7,44.7,40.3,46.5,46.9,32.9,36.7,38.8,39.7,36.6,36.3,33.1,41.2,44,33.8
DBW290,52.1,38.9,47,56.9,58.1,34.4,39.5,38.2,32.9,40.4,30.8,50.6,39.7,30.9,33.9
DBW296,45.8,38.4,45.9,50,47.7,30.9,43.4,40.3,44.9,35.6,34.3,58.5,46,33,55.5
DBW303,42.1,39.8,39.4,43.5,44.9,28.4,37,36.2,42.1,38.2,34.7,43.2,37.6,32.8,34.7
DBW307,46,39.4,42.5,44.5,48.2,38.2,48.1,42,39.2,39.9,42.3,54,46.5,38.8,37.9
DBW310,42.7,35.7,39,36.9,33,35.3,40.3,34.8,40.5,35.2,35.7,48.3,51.2,34.6,53.4
DBW311,41.8,44.2,43.4,49.4,40,35.6,37.3,33.8,38.7,40.7,31.4,38.6,38.2,29.1,46.8
DBW312,38.3,28.1,31.9,36.8,36.1,33.2,45.3,41,38,35.5,34.7,47.1,49,32.7,31.8
DBW313,50.2,41.7,46.4,42.2,47,38.3,41.7,40,41.2,35.8,44.7,45.3,44.9,28.2,32.7
